published,title,url,views
2016-02-10,Aligning Books and Movies: Towards Story-Like Visual Explanations by Watching Movies and Reading Books,http://videolectures.net/iccv2015_zhu_aligning_books,83
2015-09-27,Multi-Task Learning for Subspace Segmentation,http://videolectures.net/icml2015_wang_subspace_segmentation,82
2015-09-27,Asymmetric Transfer Learning with Deep Gaussian Processes,http://videolectures.net/icml2015_kandemir_asymmetric_transfer_learning,82
2016-02-10,Removing Rain From a Single Image via Discriminative Sparse Coding,http://videolectures.net/iccv2015_tan_removing_rain,82
2015-09-27,Hidden Markov Anomaly Detection,http://videolectures.net/icml2015_goernitz_anomaly_detection,82
2015-02-17,"Introduction to the bioinformatics of cancer: high-throughput sequencing of the genome, epigenome and transcriptome",http://videolectures.net/mlpmsummerschool2014_boeva_bioinformatics_cancer,81
2015-10-21,Indexing of large n-gram collection,http://videolectures.net/sikdd2015_zajec_ngram_collection,80
2016-02-10,MeshStereo: A Global Stereo Model With Mesh Alignment Regularization for View Interpolation,http://videolectures.net/iccv2015_zhang_global_stereo,80
2015-09-27,Fixed-point algorithms for learning determinantal point processes,http://videolectures.net/icml2015_mariet_determinantal_point_processes,80
2015-12-05,Trust Region Policy Optimization,http://videolectures.net/icml2015_schulman_policy_optimization,80
2015-12-09,Jezikovna opremljenost slovenščine,http://videolectures.net/single_krek_jezikovna_opremljenost_slovenscine,79
2015-12-05,Variational Inference with Normalizing Flows,http://videolectures.net/icml2015_jimenez_rezende_normalizing_flows,79
2015-09-27,Improving the Gaussian Process Sparse Spectrum Approximation by Representing Uncertainty in Frequency Inputs,http://videolectures.net/icml2015_gal_frequency_inputs,78
2015-09-27,Complete Dictionary Recovery Using Nonconvex Optimization,http://videolectures.net/icml2015_wright_nonconvex_optimization,77
2016-02-10,3D Time-Lapse Reconstruction From Internet Photos,http://videolectures.net/iccv2015_martin_brualla_internet_photos,77
2015-10-02,"Predstavitev projekta ""Pravo v dobi velikih podatkov""",http://videolectures.net/okroglamizapravo2015_zavrsnik_pravo_veliki_podatki,76
2015-12-05,Markov Chain Monte Carlo and Variational Inference: Bridging the Gap,http://videolectures.net/icml2015_salimans_variational_inference,75
2016-02-10,Lost Shopping! Monocular Localization in Large Indoor Spaces,http://videolectures.net/iccv2015_wang_lost_shopping,75
2016-02-10,"Global, Dense Multiscale Reconstruction for a Billion Points",http://videolectures.net/iccv2015_ummenhofer_multiscale_reconstruction,75
2015-09-27,Consistent estimation of dynamic and multi-layer block models,http://videolectures.net/icml2015_xu_block_models,74
2015-12-05,Learning Program Embeddings to Propagate Feedback on Student Code,http://videolectures.net/icml2015_piech_learning_program,73
2015-09-27,Guaranteed Tensor Decomposition: A Moment Approach,http://videolectures.net/icml2015_tang_tensor_decomposition,73
2016-02-10,Multiple Hypothesis Tracking Revisited,http://videolectures.net/iccv2015_kim_multiple_hypothesis,73
2016-06-15,Density Modeling of Images using a Generalized Normalization Transformation,http://videolectures.net/iclr2016_balle_density_modeling,73
2016-09-09,Mining Reliable Information from Passively and Actively Crowdsourced Data,http://videolectures.net/kdd2016_tutorial_actively_crowdsourced_data,73
2016-03-07,Learning multi-scale temporal dynamics with recurrent neural networks,http://videolectures.net/netadis2015_taylor_neural_networks,72
2016-02-10,Polarized 3D: High-Quality Depth Sensing With Polarization Cues,http://videolectures.net/iccv2015_kadambi_polarization_cues,71
2015-09-27,On Greedy Maximization of Entropy,http://videolectures.net/icml2015_sharma_greedy_maximization,71
2016-10-05,Sentiment of Emojis,http://videolectures.net/single_kralj_novak_emojis,71
2015-12-05,Unsupervised Domain Adaptation by Backpropagation,http://videolectures.net/icml2015_ganin_domain_adaptation,71
2016-11-10,At the Intersection of Data Science and Language,http://videolectures.net/iswc2016_mckeown_data_science,70
